machine_id_std,window_start,temp_mean_1h,temp_max_1h,temp_missing_count,pressure_mean_1h,pressure_max_1h,pressure_missing_count,window_end,temp_mean_24h,temp_max_24h,temp_std_24h,pressure_mean_24h,pressure_std_24h,incident_count_1h,incident_max_severity_1h,incident_count_prev_24h,incident_max_severity_prev_24h,future_incident_count_24h,label_failure_next_24h,split_set
MACH-01,2025-06-11 20:00:00,39.98,39.98,0.0,,,,2025-06-11 21:00:00,39.98,39.98,,,,0.0,,0.0,,0.0,False,train
MACH-01,2025-07-09 06:00:00,35.3,35.3,0.0,,,,2025-07-09 07:00:00,37.64,39.98,3.3092597359530447,,,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-10 22:00:00,103.95,103.95,0.0,,,,2025-08-10 23:00:00,59.74333333333333,103.95,38.355542406975985,,,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 00:00:00,39.47,39.47,0.0,195.687,195.687,0.0,2025-08-26 01:00:00,54.675,103.95,32.916820927908574,195.687,,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 01:00:00,38.25,38.25,0.0,195.567,195.567,0.0,2025-08-26 02:00:00,51.39,103.95,29.437967830677444,195.627,0.08485281374238891,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 02:00:00,37.41,37.41,0.0,196.608,196.608,0.0,2025-08-26 03:00:00,49.06,103.95,26.94157679127189,195.95400000000004,0.5695498222280442,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 03:00:00,37.66,37.66,0.0,196.891,196.891,0.0,2025-08-26 04:00:00,47.43142857142857,103.95,24.96877078043119,196.18825,0.6601138159438779,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 04:00:00,37.43,37.43,0.0,196.308,196.308,0.0,2025-08-26 05:00:00,46.18125,103.95,23.38547194764916,196.2122,0.5741782824175696,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 05:00:00,37.16,37.16,0.0,196.744,196.744,0.0,2025-08-26 06:00:00,45.178888888888885,103.95,22.080824511578168,196.30083333333334,0.5575659303317037,0.0,,0.0,,0.0,False,train
MACH-01,2025-08-26 06:00:00,36.12,36.12,0.0,196.633,196.633,0.0,2025-08-26 07:00:00,44.272999999999996,103.95,21.014174078993026,196.34828571428574,0.5242409478746997,0.0,,0.0,,0.0,False,train
